air_waybill_number;date_of_sale;date_of_flight;flight_number;cargo_transportation_route;physical_weight;volume;volume_weight;paid_weight;currency_of_sale;air_fare;air_fare_1;rfs;rfs_1;total_amount;agency_commission;agency_commission_1;fees_total;myc;myc_1;type_of_cargo;transfer_point;product_code;additional_product_code;shc_code;inn;kpp;note;the_counterparty_to_the_inn_from_fwb
555-08530524;09.04.2025;09.04.2025;SU-1715;KHV-OMS;215,00;0,36;60,00;215,00;RUB;187,00;40205,00;0,00;0,00;40878,50;24,00;24,00;673,50;0,00;0,00;PROBYGRUNTA;SVO;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530045;08.04.2025;09.04.2025;HZ-5616;VVO-PKC;204,00;1,47;245,00;245,00;RUB;163,00;39935,00;0,00;0,00;40695,50;24,00;24,00;760,50;0,00;0,00;CVETI;;450;;PEF;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530550;08.04.2025;09.04.2025;HZ-5600;VVO-OVB;4,00;0,03;5,00;25,00;RUB;176,00;4400,00;0,00;0,00;4522,50;24,00;24,00;122,50;0,00;0,00;CV-URNASPR;KHV;430;;HUM;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530701;10.04.2025;10.04.2025;FV-6902;VVO-SVO;596,00;1,42;236,67;596,00;RUB;119,00;70924,00;0,00;0,00;72702,40;24,00;24,00;1778,40;0,00;0,00;OBORUDTERM;KJA;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767100;10.04.2025;11.04.2025;SU-5805;VVO-SVO;537,00;4,15;691,67;692,00;RUB;160,00;110720,00;0,00;0,00;112776,80;24,00;24,00;2056,80;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593100;10.04.2025;11.04.2025;SU-5805;VVO-SVO;489,00;4,12;686,67;687,00;RUB;142,00;97554,00;0,00;0,00;99596,30;24,00;24,00;2042,30;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593111;10.04.2025;11.04.2025;SU-5805;VVO-SVO;545,00;4,20;700,00;700,00;RUB;142,00;99400,00;0,00;0,00;101480,00;24,00;24,00;2080,00;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530303;09.04.2025;11.04.2025;SU-5803;VVO-SVO;1580,00;15,30;2550,00;2550,00;RUB;177,00;451350,00;0,00;0,00;458795,00;24,00;24,00;7445,00;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530642;09.04.2025;11.04.2025;SU-5803;VVO-SVO;1085,00;11,00;1833,33;1833,50;RUB;177,00;324529,50;0,00;0,00;329896,65;24,00;24,00;5367,15;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766750;06.04.2025;07.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;BIOLOGICHESKOE;;520;;SHL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766886;01.04.2025;02.04.2025;SU-1701;VVO-SVO;9,00;0,04;6,67;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;OBOI;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79765976;02.04.2025;03.04.2025;SU-5803;VVO-SVO;768,00;9,39;1565,00;1565,00;RUB;160,00;250400,00;0,00;0,00;254988,50;24,00;24,00;4588,50;0,00;0,00;DOKUMENTYOBORU;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766735;08.04.2025;09.04.2025;SU-1701;VVO-SVO;958,00;9,55;1591,67;1592,00;RUB;160,00;254720,00;0,00;0,00;259386,80;24,00;24,00;4666,80;0,00;0,00;DOKUMOBORBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766746;08.04.2025;09.04.2025;SU-1701;VVO-SVO;81,00;0,60;100,00;100,00;RUB;160,00;16000,00;0,00;0,00;16340,00;24,00;24,00;340,00;0,00;0,00;ZAPCHASTIVL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766772;08.04.2025;09.04.2025;SU-1701;VVO-SVO;120,00;0,15;25,00;120,00;RUB;160,00;19200,00;0,00;0,00;19598,00;24,00;24,00;398,00;0,00;0,00;OBORUDTLKVL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94592890;06.04.2025;07.04.2025;HZ-5612;KHV-GDX;119,00;0,85;141,67;142,00;RUB;222,00;31524,00;0,00;0,00;31985,80;24,00;24,00;461,80;0,00;0,00;BADI;;510;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79764672;06.04.2025;07.04.2025;HZ-5684;KHV-PKC;176,00;1,20;200,00;200,00;RUB;233,00;46600,00;0,00;0,00;47230,00;24,00;24,00;630,00;0,00;0,00;BADY;;520;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-94592993;06.04.2025;07.04.2025;HZ-5612;KHV-GDX;64,00;0,41;68,33;68,50;RUB;222,00;15207,00;0,00;0,00;15455,65;24,00;24,00;248,65;0,00;0,00;BADY;;510;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530406;06.04.2025;08.04.2025;HZ-5614;VVO-PKC;26,00;0,05;8,33;26,00;RUB;143,00;3718,00;0,00;0,00;7868,40;24,00;24,00;4150,40;0,00;0,00;CVZAPCHASTI;;470;471;RMD;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766584;06.04.2025;07.04.2025;HZ-5714;VVO-PKC;20,00;0,15;25,00;25,00;RUB;194,00;4850,00;0,00;0,00;4972,50;24,00;24,00;122,50;0,00;0,00;ZAPCHASTIVEK;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766875;07.04.2025;08.04.2025;HZ-5614;VVO-PKC;53,00;0,08;13,33;53,00;RUB;194,00;10282,00;0,00;0,00;10485,70;24,00;24,00;203,70;0,00;0,00;PLENKA;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530185;08.04.2025;09.04.2025;SU-1705;VVO-SVO;2655,00;25,33;4221,67;4222,00;RUB;177,00;747294,00;0,00;0,00;759587,80;24,00;24,00;12293,80;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530410;08.04.2025;09.04.2025;SU-1705;VVO-SVO;2802,00;27,87;4645,00;4645,00;RUB;177,00;822165,00;0,00;0,00;835685,50;24,00;24,00;13520,50;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530421;08.04.2025;09.04.2025;SU-5803;VVO-SVO;2792,00;26,07;4345,00;4345,00;RUB;177,00;769065,00;0,00;0,00;781715,50;24,00;24,00;12650,50;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530384;07.04.2025;08.04.2025;SU-1701;VVO-KGD;84,00;0,45;75,00;84,00;RUB;171,00;14364,00;0,00;0,00;14657,60;24,00;24,00;293,60;0,00;0,00;KHOZ.TOVARIG;SVO;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530686;10.04.2025;11.04.2025;HZ-5600;VVO-KHV;32,00;0,16;26,67;32,00;RUB;58,00;1856,00;0,00;0,00;1998,80;24,00;24,00;142,80;0,00;0,00;CVDRAGOCHENME;;410;;VAL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530675;10.04.2025;11.04.2025;SU-1701;VVO-SVO;9,00;0,08;13,33;25,00;RUB;236,00;5900,00;0,00;0,00;6022,50;24,00;24,00;122,50;0,00;0,00;CVPECHATNAYPR;;410;;VAL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766982;10.04.2025;11.04.2025;SU-1701;VVO-SVO;661,00;6,00;1000,00;1000,00;RUB;160,00;160000,00;0,00;0,00;162950,00;24,00;24,00;2950,00;0,00;0,00;OBORUDBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766993;10.04.2025;11.04.2025;SU-1701;VVO-SVO;470,00;3,80;633,33;633,50;RUB;160,00;101360,00;0,00;0,00;103247,15;24,00;24,00;1887,15;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767041;10.04.2025;11.04.2025;SU-1701;VVO-SVO;496,00;4,30;716,67;717,00;RUB;160,00;114720,00;0,00;0,00;116849,30;24,00;24,00;2129,30;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767074;10.04.2025;11.04.2025;SU-1701;VVO-SVO;530,00;4,20;700,00;700,00;RUB;160,00;112000,00;0,00;0,00;114080,00;24,00;24,00;2080,00;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767111;10.04.2025;11.04.2025;SU-1701;VVO-SVO;560,00;4,20;700,00;700,00;RUB;160,00;112000,00;0,00;0,00;114080,00;24,00;24,00;2080,00;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767144;10.04.2025;11.04.2025;SU-1701;VVO-SVO;2,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-BIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767170;10.04.2025;11.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CVBIOMATERIALY;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767262;10.04.2025;11.04.2025;SU-5803;VVO-SVO;15,00;0,05;8,33;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CVPILKI;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593133;10.04.2025;11.04.2025;SU-1701;VVO-SVO;544,00;4,32;720,00;720,00;RUB;142,00;102240,00;0,00;0,00;104378,00;24,00;24,00;2138,00;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593166;10.04.2025;11.04.2025;SU-5803;VVO-SVO;398,00;3,50;583,33;583,50;RUB;142,00;82857,00;0,00;0,00;84599,15;24,00;24,00;1742,15;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767063;09.04.2025;10.04.2025;SU-1757;VVO-AER;18,00;0,20;33,33;33,50;RUB;221,00;7403,50;0,00;0,00;7550,65;24,00;24,00;147,15;0,00;0,00;ZAPCHAST-CV;SVO;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766956;08.04.2025;09.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;BIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766971;08.04.2025;09.04.2025;SU-1701;VVO-SVO;22,00;0,07;11,67;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-BIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530211;10.04.2025;11.04.2025;SU-1727;VVO-SVO;5801,00;56,00;9333,33;9333,50;RUB;177,00;1652029,50;0,00;0,00;1679146,65;24,00;24,00;27117,15;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766901;10.04.2025;11.04.2025;SU-5805;VVO-SVO;540,00;4,10;683,33;683,50;RUB;160,00;109360,00;0,00;0,00;111392,15;24,00;24,00;2032,15;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767192;10.04.2025;11.04.2025;SU-1727;VVO-KGD;102,00;0,43;71,67;102,00;RUB;231,00;23562,00;0,00;0,00;23907,80;24,00;24,00;345,80;0,00;0,00;LICHNVESHI-CV;SVO;520;;GDS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593122;10.04.2025;11.04.2025;SU-5805;VVO-SVO;576,00;4,00;666,67;667,00;RUB;142,00;94714,00;0,00;0,00;96698,30;24,00;24,00;1984,30;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08529931;03.04.2025;04.04.2025;SU-1701;VVO-DYR;85,00;0,50;83,33;85,00;RUB;426,00;36210,00;0,00;0,00;36506,50;24,00;24,00;296,50;0,00;0,00;OBORUDRTKOM;SVO;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530476;08.04.2025;08.04.2025;SU-1715;KHV-LED;1,00;0,01;1,67;25,00;RUB;123,00;3075,00;0,00;0,00;3197,50;24,00;24,00;122,50;0,00;0,00;UGOLXNEAKTIV;SVO;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530863;10.04.2025;11.04.2025;SU-1701;VVO-AER;7,00;0,10;16,67;25,00;RUB;333,00;8325,00;0,00;0,00;8447,50;24,00;24,00;122,50;0,00;0,00;KOSHKA-CV;SVO;420;;AVI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530535;09.04.2025;09.04.2025;SU-1715;KHV-SVO;166,00;0,72;120,00;166,00;RUB;120,00;19920,00;0,00;0,00;20451,40;24,00;24,00;531,40;0,00;0,00;OBORUDOWANIE;;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530454;08.04.2025;08.04.2025;SU-1703;VVO-LED;159,00;0,06;10,00;159,00;RUB;157,00;24963,00;0,00;0,00;29499,10;24,00;24,00;4536,10;0,00;0,00;RMUN2912;SVO;470;471;RRY;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530465;10.04.2025;11.04.2025;HZ-5644;VVO-SVO;221,00;0,40;66,67;221,00;RUB;123,00;27183,00;0,00;0,00;27873,90;24,00;24,00;690,90;0,00;0,00;PLASTIKYAR;KJA;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530491;10.04.2025;11.04.2025;HZ-5644;VVO-SVO;218,00;2,16;360,00;360,00;RUB;121,00;43560,00;0,00;0,00;44654,00;24,00;24,00;1094,00;0,00;0,00;TNPBOX;KJA;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766890;08.04.2025;09.04.2025;HZ-5680;VVO-UUS;13,00;0,15;25,00;25,00;RUB;107,00;2675,00;0,00;0,00;2797,50;24,00;24,00;122,50;0,00;0,00;OBORUDOWANBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766072;08.04.2025;09.04.2025;HZ-5684;KHV-PKC;197,00;1,03;171,67;197,00;RUB;233,00;45901,00;0,00;0,00;46522,30;24,00;24,00;621,30;0,00;0,00;BADY;;520;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530513;09.04.2025;09.04.2025;HZ-5628;KHV-UUS;4,00;0,04;6,67;25,00;RUB;79,00;1975,00;0,00;0,00;2097,50;24,00;24,00;122,50;0,00;0,00;ZAPCHASTI;;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79766315;09.04.2025;10.04.2025;HZ-5684;KHV-PKC;70,00;0,21;35,00;70,00;RUB;233,00;16310,00;0,00;0,00;16563,00;24,00;24,00;253,00;0,00;0,00;ZAPCHASTI;;520;;XPS;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79767052;09.04.2025;10.04.2025;HZ-5714;VVO-PKC;100,00;0,12;20,00;100,00;RUB;194,00;19400,00;0,00;0,00;19740,00;24,00;24,00;340,00;0,00;0,00;ZAPCHASTI;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767203;09.04.2025;10.04.2025;HZ-5680;VVO-UUS;1,60;0,01;1,67;25,00;RUB;107,00;2675,00;0,00;0,00;2797,50;24,00;24,00;122,50;0,00;0,00;CV-ZAPCHASTI;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766212;09.04.2025;10.04.2025;HZ-5616;VVO-PKC;190,00;1,68;280,00;280,00;RUB;194,00;54320,00;0,00;0,00;55182,00;24,00;24,00;862,00;0,00;0,00;MEDIKAMENT;;520;;PIL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767085;09.04.2025;10.04.2025;HZ-5714;VVO-PKC;110,00;0,10;16,67;110,00;RUB;194,00;21340,00;0,00;0,00;21709,00;24,00;24,00;369,00;0,00;0,00;OBORUDOWANIETR;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530874;10.04.2025;10.04.2025;HZ-5601;KHV-VVO;4,00;0,01;1,67;25,00;RUB;29,00;725,00;0,00;0,00;847,50;24,00;24,00;122,50;0,00;0,00;UGOLXNEAKTIW;;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530852;10.04.2025;11.04.2025;HZ-5616;VVO-PKC;0,50;0,01;1,67;25,00;RUB;143,00;3575,00;0,00;0,00;3697,50;24,00;24,00;122,50;0,00;0,00;ELEKTRODMTS;;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767181;10.04.2025;11.04.2025;HZ-5616;VVO-PKC;10,00;0,05;8,33;25,00;RUB;194,00;4850,00;0,00;0,00;4972,50;24,00;24,00;122,50;0,00;0,00;CV-IONNO-LITIEV;;520;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766595;09.04.2025;10.04.2025;HZ-5612;KHV-GDX;232,00;1,35;225,00;232,00;RUB;250,00;58000,00;0,00;0,00;58722,80;24,00;24,00;722,80;0,00;0,00;TEATRALNYJREKV;;520;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530174;08.04.2025;09.04.2025;HZ-5644;VVO-SVO;327,00;3,32;553,33;553,50;RUB;119,00;65866,50;0,00;0,00;67521,65;24,00;24,00;1655,15;0,00;0,00;TNP;KJA;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530572;09.04.2025;10.04.2025;SU-1701;VVO-SVO;250,00;0,74;123,33;250,00;RUB;236,00;59000,00;0,00;0,00;59775,00;24,00;24,00;775,00;0,00;0,00;CV-PECHATNAYAP;;410;;VAL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766820;09.04.2025;10.04.2025;SU-1701;VVO-SVO;462,00;4,80;800,00;800,00;RUB;160,00;128000,00;0,00;0,00;130370,00;24,00;24,00;2370,00;0,00;0,00;TNPBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766831;09.04.2025;10.04.2025;SU-1701;VVO-SVO;489,00;5,61;935,00;935,00;RUB;160,00;149600,00;0,00;0,00;152361,50;24,00;24,00;2761,50;0,00;0,00;TNPBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766842;09.04.2025;10.04.2025;SU-1701;VVO-SVO;95,00;0,38;63,33;95,00;RUB;160,00;15200,00;0,00;0,00;15525,50;24,00;24,00;325,50;0,00;0,00;ZAPCHASTINM;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766853;09.04.2025;10.04.2025;SU-1701;VVO-SVO;70,00;0,65;108,33;108,50;RUB;160,00;17360,00;0,00;0,00;17724,65;24,00;24,00;364,65;0,00;0,00;ZAPCHASTIVL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767122;10.04.2025;10.04.2025;SU-1701;VVO-SVO;1,00;0,02;3,33;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CVBIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593096;09.04.2025;10.04.2025;SU-1701;VVO-SVO;467,00;4,55;758,33;758,50;RUB;142,00;107707,00;0,00;0,00;109956,65;24,00;24,00;2249,65;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530222;09.04.2025;10.04.2025;SU-1757;VVO-SVO;5979,00;57,00;9500,00;9500,00;RUB;177,00;1681500,00;0,00;0,00;1709100,00;24,00;24,00;27600,00;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530620;10.04.2025;11.04.2025;SU-1701;VVO-GSV;231,00;0,78;130,00;231,00;RUB;183,00;42273,00;0,00;0,00;42992,90;24,00;24,00;719,90;0,00;0,00;OBORUDSEIN;SVO;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530690;10.04.2025;11.04.2025;SU-1701;VVO-CEK;21,00;0,16;26,67;27,00;RUB;173,00;4671,00;0,00;0,00;4799,30;24,00;24,00;128,30;0,00;0,00;PODOSHVI;SVO;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530502;09.04.2025;10.04.2025;SU-5805;VVO-SVO;76,00;0,35;58,33;76,00;RUB;125,00;9500,00;0,00;0,00;9770,40;24,00;24,00;270,40;0,00;0,00;OBORUDTERM;;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530546;09.04.2025;10.04.2025;SU-5805;VVO-SVO;2820,00;27,00;4500,00;4500,00;RUB;177,00;796500,00;0,00;0,00;809600,00;24,00;24,00;13100,00;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766934;09.04.2025;10.04.2025;SU-5805;VVO-SVO;503,00;3,86;643,33;643,50;RUB;160,00;102960,00;0,00;0,00;104876,15;24,00;24,00;1916,15;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766945;10.04.2025;10.04.2025;SU-5805;VVO-SVO;509,00;3,96;660,00;660,00;RUB;160,00;105600,00;0,00;0,00;107564,00;24,00;24,00;1964,00;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767030;09.04.2025;10.04.2025;SU-5805;VVO-SVO;469,00;3,88;646,67;647,00;RUB;160,00;103520,00;0,00;0,00;105446,30;24,00;24,00;1926,30;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593052;09.04.2025;10.04.2025;SU-5805;VVO-SVO;446,00;4,08;680,00;680,00;RUB;142,00;96560,00;0,00;0,00;98582,00;24,00;24,00;2022,00;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
